id,created_at,text
377508936057761793,2013-09-10 19:08:38,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generation http://t.co/qphi5tG3Ga @SunDevilReps'
377508643874168832,2013-09-10 19:07:29,b'Tempe has chance to join in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @CollegeTownTemp'
377508309818810368,2013-09-10 19:06:09,b'Tempe has chance to join in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @ASUchangemaker'
377508230831693825,2013-09-10 19:05:50,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generations http://t.co/qphi5tG3Ga @ASU_Alumni'
377508008198037505,2013-09-10 19:04:57,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generats http://t.co/qphi5tG3Ga @PHXPros'
377507984919646208,2013-09-10 19:04:52,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generats http://t.co/qphi5tG3Ga @AZ_AARP'
377507777221902336,2013-09-10 19:04:02,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generats http://t.co/qphi5tG3Ga @TIMEHealthland'
377507753708646400,2013-09-10 19:03:56,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generats http://t.co/qphi5tG3Ga @TempeCoalition'
377507648574210048,2013-09-10 19:03:31,b'Tempe has chance to participate in cancer research study. Help us prevent cancer for future generats. http://t.co/qphi5tG3Ga @azcthingstodo'
377507191051124736,2013-09-10 19:01:42,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @RioSaladoOnline'
377506874502807552,2013-09-10 19:00:27,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeMasjid'
377506787856883712,2013-09-10 19:00:06,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeCommAction'
377506359119327232,2013-09-10 18:58:24,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeBus'
377506153569062912,2013-09-10 18:57:35,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeElementary'
377505458501603328,2013-09-10 18:54:49,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ArcofTempe'
377505300426682368,2013-09-10 18:54:12,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @HerbSendek'
377504800708911104,2013-09-10 18:52:12,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @tempehonda'
377504694496555008,2013-09-10 18:51:47,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @minioftempe'
377504669485907969,2013-09-10 18:51:41,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ScottsdaleTempe'
377504476132700160,2013-09-10 18:50:55,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeFire493'
377504132115881984,2013-09-10 18:49:33,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @MillAveTempe'
377504106417369089,2013-09-10 18:49:27,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUGammage'
377503922073513984,2013-09-10 18:48:43,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempePlanet'
377503900770656256,2013-09-10 18:48:38,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @statepress'
377503729504645120,2013-09-10 18:47:57,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeCinemas'
377503708189192192,2013-09-10 18:47:52,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TEMPEYMCA'
377503596335476736,2013-09-10 18:47:25,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @BigBangTempe'
377503572633473024,2013-09-10 18:47:20,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @fourpointstempe'
377503438105358338,2013-09-10 18:46:47,b'Are you commited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeMusicFest'
377503370820325376,2013-09-10 18:46:31,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @SunDevilFitness'
377503315774300161,2013-09-10 18:46:18,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TempeTourism'
377503290243547136,2013-09-10 18:46:12,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @TMPDistrict'
377503048408391680,2013-09-10 18:45:15,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @asucis'
377502989335810048,2013-09-10 18:45:00,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASU'
377502967336669184,2013-09-10 18:44:55,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUPsych'
377502944687448064,2013-09-10 18:44:50,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @tempeoktofest'
377502919706152960,2013-09-10 18:44:44,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUFrenchClub'
377502891986014208,2013-09-10 18:44:37,b'Are you comited to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @sundevls4israel'
377502740991078400,2013-09-10 18:44:01,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUPAB'
377502705456934912,2013-09-10 18:43:53,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @asunews'
377502681859780608,2013-09-10 18:43:47,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUTimes'
377502661437685761,2013-09-10 18:43:42,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @SunDevilHoops'
377502636397711360,2013-09-10 18:43:36,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASU_GreekLife'
377502601882791936,2013-09-10 18:43:28,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @WPCareySchool'
377502565929189376,2013-09-10 18:43:20,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @asueducation'
377502531661725696,2013-09-10 18:43:11,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @Arizona_StCFB'
377502486321328128,2013-09-10 18:43:01,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @USG_ASU'
377502397146206208,2013-09-10 18:42:39,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @MUatASU'
377502355232546816,2013-09-10 18:42:29,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUgreen'
377502321594204160,2013-09-10 18:42:21,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @manupasu'
377502277147176960,2013-09-10 18:42:11,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @wowfactorasu'
377501853203701760,2013-09-10 18:40:30,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @SunDevilWBB'
377501623049662464,2013-09-10 18:39:35,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ArizonaFacts'
377501562907529216,2013-09-10 18:39:20,b'Est\xc3\xa1s comprometido a luchar contra el c\xc3\xa1ncer? Entonces estar\xc3\xa1s interesado en el Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASULatino'
377501108886716418,2013-09-10 18:37:32,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASULatino'
377500571885764608,2013-09-10 18:35:24,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @DevilsonMill'
377500231518019584,2013-09-10 18:34:03,b'Are you committed to fight against cancer? Then you\xe2\x80\x99ll be interested in the Cancer Prevention Study-3 http://t.co/qphi5tG3Ga @ASUGermanClub'
